Latitude,Longitude,RSRP10,Street Address
42.897287,-78.862278,-86,140 Mulberry St
42.897578,-78.862131,-86,152 Mulberry St
42.897915,-78.86309,-86,184 Maple St
42.900659,-78.859066,-86,236 Lemon St
42.901258,-78.857875,-86,242 Orange St
42.901684,-78.856772,-86,244 Peach St
42.901077,-78.858368,-86,257 Lemon St
42.901894,-78.857191,-86,301 E North St
42.897154,-78.860222,-87,100 Lemon St
42.899144,-78.855553,-87,108 Rose St
42.899247,-78.855902,-87,129 Grape St
42.897487,-78.862214,-87,148 Mulberry St
42.898334,-78.860897,-87,164 Locust St
42.901042,-78.858005,-87,232 Orange St
42.901042,-78.858005,-87,232 Orange St # 2
42.901117,-78.857937,-87,234 Orange St
42.900879,-78.859081,-87,242 Lemon St
42.900726,-78.858482,-87,243 Lemon St
42.900914,-78.858431,-87,245 Lemon St
42.901795,-78.856699,-87,248 Peach St
42.900914,-78.858431,-87,249 Lemon St
42.901402,-78.857247,-87,251 Orange St APT 1
42.901001,-78.858398,-87,255 Lemon St
42.903093,-78.855482,-87,268 Grape St
42.903003,-78.856002,-87,293 Peach St
42.900004,-78.856644,-87,329 High St
42.898633,-78.855169,-87,356 Carlton St
42.899649,-78.855773,-88,143 Grape St
42.897196,-78.862783,-88,161 Maple St
42.8973,-78.862657,-88,163 Maple St
42.900695,-78.858057,-88,222 Orange St
42.90124,-78.857301,-88,245 Orange St
42.901677,-78.856133,-88,249 Peach St
42.901866,-78.856119,-88,253 Peach St
42.903207,-78.856524,-88,300 Peach St
42.89864,-78.854904,-88,374 Carlton St
42.898637,-78.854681,-88,380 Carlton St
42.898635,-78.854516,-88,382 Carlton St
42.898921,-78.855011,-88,99 Rose St
42.900782,-78.858089,-89,224 Orange St # 2
42.901266,-78.856867,-89,224 Peach St
42.900869,-78.858016,-89,228 Orange St
42.900975,-78.857388,-89,233 Orange St APT 1
42.900975,-78.857388,-89,233 Orange St APT 2
42.901515,-78.856186,-89,241 Peach St
42.901582,-78.856164,-89,243 Peach St
42.901582,-78.856164,-89,243 Peach St
42.901582,-78.856164,-89,243 Peach St
42.901582,-78.856164,-89,243 Peach St
42.901582,-78.856164,-89,243 Peach St # 2
42.903185,-78.855923,-89,301 Peach St
42.901621,-78.855766,-90,212 Grape St # 2
42.901621,-78.855766,-90,212 Grape St UNIT 1
42.900899,-78.85746,-90,231 Orange St
42.903278,-78.855924,-91,303 Peach St
42.903362,-78.856526,-91,306 Peach St
42.900005,-78.85575,-91,351 High St
42.899989,-78.855568,-91,355 High St
42.9,-78.855329,-91,361 High St
42.898733,-78.853604,-91,859 Jefferson Ave
42.899596,-78.855406,-92,122 Rose St
42.897542,-78.862577,-92,173 Maple St
42.901484,-78.855184,-92,211 Grape St
42.901199,-78.856288,-92,227 Peach St
42.903371,-78.855924,-92,307 Peach St
42.899393,-78.855472,-93,116 Rose St
42.899775,-78.854706,-93,133 Rose St
42.900835,-78.856406,-93,215 Peach St
42.903207,-78.854995,-93,271 Grape St
42.900425,-78.856075,-93,338 High St
42.900009,-78.85542,-93,359 High St
42.899237,-78.855521,-94,110 Rose St
42.901083,-78.85594,-94,188 Grape St
42.901148,-78.855344,-94,199 Grape St
42.903279,-78.855451,-94,276 Grape St
42.901852,-78.854828,-94,361 E North St
42.900497,-78.854295,-94,382 High St
42.899651,-78.854321,-94,902 Jefferson Ave
42.901224,-78.854814,-95,180 Rose St
42.900917,-78.855993,-95,184 Grape St
42.903375,-78.854956,-95,281 Grape St
42.901382,-78.854316,-95,968 Jefferson Ave
42.903464,-78.855474,-96,284 Grape St
42.901066,-78.85357,-96,953 Jefferson Ave APT 2
42.89698,-78.859779,-96,97 Lemon St
42.899324,-78.855495,-97,112 Rose St
42.899333,-78.854878,-97,115 Rose St
42.899893,-78.854741,-97,135 Rose St
42.903458,-78.854957,-97,285 Grape St
42.903458,-78.854957,-97,285 Grape St
42.903687,-78.856457,-97,320 Peach St
42.900023,-78.854743,-97,377 High St
42.901052,-78.854324,-97,952 Jefferson Ave
42.901152,-78.854316,-97,956 Jefferson Ave
42.900978,-78.854816,-98,172 Rose St
42.900842,-78.855335,-98,189 Grape St
42.90208,-78.854115,-98,300 Jefferson Ave
42.90208,-78.854115,-98,304 Jefferson Ave
42.903652,-78.85507,-98,357 Best St
42.899458,-78.85545,-99,118 Rose St
42.901681,-78.854268,-99,974 Jefferson Ave
42.901878,-78.854256,-99,982 Jefferson Ave
42.901878,-78.854256,-99,982 Jefferson Ave
42.901878,-78.854256,-99,982 Jefferson Ave
42.901932,-78.854357,-101,984 Jefferson Ave
42.9016,-78.854324,-102,972 Jefferson Ave
42.901331,-78.853583,-103,961 Jefferson Ave
42.901194,-78.853577,-104,955 Jefferson Ave
42.899574,-78.854754,-108,125 Rose St
42.900806,-78.854316,-108,944 Jefferson Ave
